# Oxygen prosuction and consumption of Synechocystis PCC 6803 in increasing light at 30°C
light_umol_m2_s, prod_625_lowCO2, cons_625_lowCO2,prod_625730_lowCO2,cons_625730_lowCO2, prod_625_highCO2, cons_625_highCO2,prod_625730_highCO2,cons_625730_highCO2
0,,-0.261,,-0.487,,-0.462,,-0.391
10,0.319,-0.232,0.362,-0.218,0.47,-0.391,0.47,-0.25
30,0.743,-0.261,0.772,-0.246,1.006,-0.433,1.006,-0.236
50,1.111,-0.246,1.592,-0.303,1.444,-0.377,1.486,-0.335
75,1.521,-0.543,2.158,-0.671,2.05,-0.744,2.05,-0.758
100,1.818,-0.642,2.752,-1.123,2.389,-0.97,2.474,-0.956
150,2.186,-0.925,3.077,-1.236,2.954,-1.238,3.081,-1.323
200,2.44,-1.095,3.515,-1.364,3.335,-1.464,3.448,-1.534
250,2.638,-1.095,3.713,-1.533,3.504,-1.506,3.673,-1.619
300,2.681,-1.067,3.699,-1.59,3.603,-1.562,3.716,-1.577
