Time;F;
   0.010; 1.459;
   0.020; 1.460;
   0.030; 1.459;
   0.040; 1.458;
   0.050; 1.460;
   0.060; 1.461;
   0.070; 1.461;
   0.080; 1.461;
   0.090; 1.461;
   0.100; 1.460;
   0.110; 1.464;
   0.120; 1.462;
   0.130; 1.465;
   0.140; 1.464;
   0.150; 1.464;
   0.160; 1.466;
   0.170; 1.466;
   0.180; 1.466;
   0.190; 1.466;
   0.200; 1.466;
   0.210; 1.470;
   0.220; 1.469;
   0.230; 1.469;
   0.240; 1.469;
   0.250; 1.469;
   0.260; 1.470;
   0.270; 1.471;
   0.280; 1.470;
   0.290; 1.471;
   0.300; 1.470;
   0.310; 1.472;
   0.320; 1.472;
   0.330; 1.474;
   0.340; 1.471;
   0.350; 1.474;
   0.360; 1.474;
   0.370; 1.474;
   0.380; 1.474;
   0.390; 1.474;
   0.400; 1.474;
   0.410; 1.476;
   0.420; 1.476;
   0.430; 1.476;
   0.440; 1.476;
   0.450; 1.476;
   0.460; 1.475;
   0.470; 1.476;
   0.480; 1.476;
   0.490; 1.476;
   0.500; 1.476;
   0.510; 1.478;
   0.520; 1.478;
   0.530; 1.478;
   0.540; 1.478;
   0.550; 1.478;
   0.560; 1.479;
   0.570; 1.479;
   0.580; 1.478;
   0.590; 1.479;
   0.600; 1.480;
   0.610; 1.480;
   0.620; 1.480;
   0.630; 1.480;
   0.640; 1.480;
   0.650; 1.481;
   0.660; 1.481;
   0.670; 1.481;
   0.680; 1.480;
   0.690; 1.482;
   0.700; 1.481;
   0.710; 1.482;
   0.720; 1.482;
   0.730; 1.482;
   0.740; 1.482;
   0.750; 1.484;
   0.760; 1.484;
   0.770; 1.484;
   0.780; 1.484;
   0.790; 1.485;
   0.800; 1.484;
   0.810; 1.486;
   0.820; 1.485;
   0.830; 1.486;
   0.840; 1.486;
   0.850; 1.486;
   0.860; 1.486;
   0.870; 1.486;
   0.880; 1.486;
   0.890; 1.488;
   0.900; 1.486;
   0.910; 1.489;
   0.920; 1.488;
   0.930; 1.488;
   0.940; 1.488;
   0.950; 1.489;
   0.960; 1.489;
   0.970; 1.489;
   0.980; 1.489;
   0.990; 1.489;
   1.000; 1.489;
   1.010; 1.490;
   1.020; 1.490;
   1.030; 1.490;
   1.040; 1.491;
   1.050; 1.490;
   1.060; 1.490;
   1.070; 1.491;
   1.080; 1.491;
   1.090; 1.492;
   1.100; 1.491;
   1.110; 1.492;
   1.120; 1.491;
   1.130; 1.492;
   1.140; 1.491;
   1.150; 1.491;
   1.160; 1.491;
   1.170; 1.492;
   1.180; 1.491;
   1.190; 1.492;
   1.200; 1.491;
   1.210; 1.494;
   1.220; 1.491;
   1.230; 1.494;
   1.240; 1.492;
   1.250; 1.494;
   1.260; 1.492;
   1.270; 1.494;
   1.280; 1.494;
   1.290; 1.494;
   1.300; 1.494;
   1.310; 1.494;
   1.320; 1.494;
   1.330; 1.494;
   1.340; 1.494;
   1.350; 1.494;
   1.360; 1.495;
   1.370; 1.496;
   1.380; 1.495;
   1.390; 1.495;
   1.400; 1.495;
   1.410; 1.495;
   1.420; 1.495;
   1.430; 1.495;
   1.440; 1.495;
   1.450; 1.495;
   1.460; 1.496;
   1.470; 1.496;
   1.480; 1.498;
   1.490; 1.498;
   1.500; 1.496;
   1.510; 1.498;
   1.520; 1.499;
   1.530; 1.498;
   1.540; 1.498;
   1.550; 1.499;
   1.560; 1.500;
   1.570; 1.501;
   1.580; 1.500;
   1.590; 1.501;
   1.600; 1.500;
   1.610; 1.501;
   1.620; 1.500;
   1.630; 1.502;
   1.640; 1.501;
   1.650; 1.502;
   1.660; 1.502;
   1.670; 1.504;
   1.680; 1.502;
   1.690; 1.504;
   1.700; 1.502;
   1.710; 1.504;
   1.720; 1.504;
   1.730; 1.504;
   1.740; 1.502;
   1.750; 1.505;
   1.760; 1.505;
   1.770; 1.506;
   1.780; 1.504;
   1.790; 1.505;
   1.800; 1.505;
   1.810; 1.505;
   1.820; 1.505;
   1.830; 1.505;
   1.840; 1.505;
   1.850; 1.506;
   1.860; 1.505;
   1.870; 1.505;
   1.880; 1.505;
   1.890; 1.505;
   1.900; 1.505;
   1.910; 1.505;
   1.920; 1.505;
   1.930; 1.505;
   1.940; 1.505;
   1.950; 1.506;
   1.960; 1.505;
   1.970; 1.505;
   1.980; 1.505;
   1.990; 1.506;
   2.000; 1.505;
   2.010; 1.505;
   2.020; 1.504;
   2.030; 1.505;
   2.040; 1.505;
   2.050; 1.506;
   2.060; 1.505;
   2.070; 1.506;
   2.080; 1.505;
   2.090; 1.506;
   2.100; 1.504;
   2.110; 1.505;
   2.120; 1.504;
   2.130; 1.506;
   2.140; 1.505;
   2.150; 1.506;
   2.160; 1.505;
   2.170; 1.505;
   2.180; 1.504;
   2.190; 1.506;
   2.200; 1.505;
   2.210; 1.506;
   2.220; 1.505;
   2.230; 1.506;
   2.240; 1.506;
   2.250; 1.506;
   2.260; 1.505;
   2.270; 1.506;
   2.280; 1.506;
   2.290; 1.506;
   2.300; 1.506;
   2.310; 1.505;
   2.320; 1.506;
   2.330; 1.506;
   2.340; 1.505;
   2.350; 1.506;
   2.360; 1.506;
   2.370; 1.506;
   2.380; 1.506;
   2.390; 1.508;
   2.400; 1.506;
   2.410; 1.506;
   2.420; 1.505;
   2.430; 1.506;
   2.440; 1.506;
   2.450; 1.506;
   2.460; 1.505;
   2.470; 1.506;
   2.480; 1.505;
   2.490; 1.506;
   2.500; 1.506;
   2.510; 1.508;
   2.520; 1.506;
   2.530; 1.508;
   2.540; 1.506;
   2.550; 1.506;
   2.560; 1.506;
   2.570; 1.506;
   2.580; 1.506;
   2.590; 1.506;
   2.600; 1.506;
   2.610; 1.506;
   2.620; 1.506;
   2.630; 1.508;
   2.640; 1.506;
   2.650; 1.506;
   2.660; 1.508;
   2.670; 1.508;
   2.680; 1.508;
   2.690; 1.508;
   2.700; 1.506;
   2.710; 1.506;
   2.720; 1.506;
   2.730; 1.508;
   2.740; 1.506;
   2.750; 1.509;
   2.760; 1.508;
   2.770; 1.509;
   2.780; 1.508;
   2.790; 1.508;
   2.800; 1.508;
   2.810; 1.508;
   2.820; 1.506;
   2.830; 1.508;
   2.840; 1.506;
   2.850; 1.509;
   2.860; 1.508;
   2.870; 1.509;
   2.880; 1.508;
   2.890; 1.508;
   2.900; 1.506;
   2.910; 1.508;
   2.920; 1.508;
   2.930; 1.508;
   2.940; 1.508;
   2.950; 1.508;
   2.960; 1.508;
   2.970; 1.509;
   2.980; 1.508;
   2.990; 1.508;
   3.000; 1.509;
   3.010; 1.509;
   3.020; 1.508;
   3.030; 1.509;
   3.040; 1.509;
   3.050; 1.509;
   3.060; 1.509;
   3.070; 1.509;
   3.080; 1.508;
   3.090; 1.509;
   3.100; 1.509;
   3.110; 1.509;
   3.120; 1.509;
   3.130; 1.509;
   3.140; 1.509;
   3.150; 1.509;
   3.160; 1.508;
   3.170; 1.509;
   3.180; 1.508;
   3.190; 1.509;
   3.200; 1.508;
   3.210; 1.509;
   3.220; 1.509;
   3.230; 1.509;
   3.240; 1.509;
   3.250; 1.510;
   3.260; 1.508;
   3.270; 1.509;
   3.280; 1.508;
   3.290; 1.509;
   3.300; 1.508;
   3.310; 1.509;
   3.320; 1.508;
   3.330; 1.508;
   3.340; 1.508;
   3.350; 1.509;
   3.360; 1.508;
   3.370; 1.509;
   3.380; 1.509;
   3.390; 1.509;
   3.400; 1.509;
   3.410; 1.510;
   3.420; 1.508;
   3.430; 1.509;
   3.440; 1.509;
   3.450; 1.510;
   3.460; 1.508;
   3.470; 1.509;
   3.480; 1.509;
   3.490; 1.510;
   3.500; 1.509;
   3.510; 1.509;
   3.520; 1.510;
   3.530; 1.509;
   3.540; 1.509;
   3.550; 1.509;
   3.560; 1.509;
   3.570; 1.509;
   3.580; 1.509;
   3.590; 1.509;
   3.600; 1.509;
   3.610; 1.509;
   3.620; 1.509;
   3.630; 1.510;
   3.640; 1.510;
   3.650; 1.510;
   3.660; 1.509;
   3.670; 1.511;
   3.680; 1.510;
   3.690; 1.510;
   3.700; 1.510;
   3.710; 1.510;
   3.720; 1.509;
   3.730; 1.510;
   3.740; 1.509;
   3.750; 1.510;
   3.760; 1.509;
   3.770; 1.511;
   3.780; 1.509;
   3.790; 1.510;
   3.800; 1.509;
   3.810; 1.509;
   3.820; 1.509;
   3.830; 1.510;
   3.840; 1.510;
   3.850; 1.510;
   3.860; 1.510;
   3.870; 1.510;
   3.880; 1.509;
   3.890; 1.510;
   3.900; 1.509;
   3.910; 1.510;
   3.920; 1.510;
   3.930; 1.510;
   3.940; 1.510;
