Time;F;
   0.010; 0.246;
   0.020; 0.246;
   0.030; 0.247;
   0.040; 0.246;
   0.050; 0.245;
   0.060; 0.248;
   0.070; 0.248;
   0.080; 0.247;
   0.090; 0.247;
   0.100; 0.246;
   0.110; 0.247;
   0.120; 0.245;
   0.130; 0.245;
   0.140; 0.245;
   0.150; 0.244;
   0.160; 0.244;
   0.170; 0.246;
   0.180; 0.247;
   0.190; 0.246;
   0.200; 0.246;
   0.210; 0.248;
   0.220; 0.249;
   0.230; 0.250;
   0.240; 0.248;
   0.250; 0.249;
   0.260; 0.249;
   0.270; 0.249;
   0.280; 0.248;
   0.290; 0.248;
   0.300; 0.248;
   0.310; 0.248;
   0.320; 0.246;
   0.330; 0.247;
   0.340; 0.246;
   0.350; 0.246;
   0.360; 0.246;
   0.370; 0.245;
   0.380; 0.246;
   0.390; 0.247;
   0.400; 0.245;
   0.410; 0.246;
   0.420; 0.245;
   0.430; 0.247;
   0.440; 0.247;
   0.450; 0.246;
   0.460; 0.246;
   0.470; 0.247;
   0.480; 0.246;
   0.490; 0.247;
   0.500; 0.246;
   0.510; 0.247;
   0.520; 0.246;
   0.530; 0.248;
   0.540; 0.248;
   0.550; 0.249;
   0.560; 0.248;
   0.570; 0.247;
   0.580; 0.248;
   0.590; 0.249;
   0.600; 0.248;
   0.610; 0.247;
   0.620; 0.247;
   0.630; 0.246;
   0.640; 0.247;
   0.650; 0.248;
   0.660; 0.247;
   0.670; 0.248;
   0.680; 0.247;
   0.690; 0.248;
   0.700; 0.249;
   0.710; 0.248;
   0.720; 0.248;
   0.730; 0.249;
   0.740; 0.250;
   0.750; 0.249;
   0.760; 0.248;
   0.770; 0.249;
   0.780; 0.250;
   0.790; 0.251;
   0.800; 0.250;
   0.810; 0.251;
   0.820; 0.250;
   0.830; 0.251;
   0.840; 0.251;
   0.850; 0.252;
   0.860; 0.254;
   0.870; 0.255;
   0.880; 0.254;
   0.890; 0.254;
   0.900; 0.254;
   0.910; 0.255;
   0.920; 0.252;
   0.930; 0.252;
   0.940; 0.254;
   0.950; 0.253;
   0.960; 0.252;
   0.970; 0.253;
   0.980; 0.253;
   0.990; 0.253;
   1.000; 0.252;
   1.010; 0.251;
   1.020; 0.250;
   1.030; 0.251;
   1.040; 0.249;
   1.050; 0.251;
   1.060; 0.251;
   1.070; 0.251;
   1.080; 0.250;
   1.090; 0.250;
   1.100; 0.252;
   1.110; 0.251;
   1.120; 0.250;
   1.130; 0.251;
   1.140; 0.253;
   1.150; 0.252;
   1.160; 0.251;
   1.170; 0.251;
   1.180; 0.251;
   1.190; 0.251;
   1.200; 0.250;
   1.210; 0.249;
   1.220; 0.249;
   1.230; 0.251;
   1.240; 0.250;
   1.250; 0.251;
   1.260; 0.251;
   1.270; 0.251;
   1.280; 0.250;
   1.290; 0.251;
   1.300; 0.251;
   1.310; 0.251;
   1.320; 0.253;
   1.330; 0.254;
   1.340; 0.254;
   1.350; 0.255;
   1.360; 0.253;
   1.370; 0.256;
   1.380; 0.255;
   1.390; 0.254;
   1.400; 0.253;
   1.410; 0.253;
   1.420; 0.256;
   1.430; 0.255;
   1.440; 0.252;
   1.450; 0.252;
   1.460; 0.253;
   1.470; 0.252;
   1.480; 0.251;
   1.490; 0.251;
   1.500; 0.252;
   1.510; 0.252;
   1.520; 0.250;
   1.530; 0.252;
   1.540; 0.252;
   1.550; 0.251;
   1.560; 0.251;
   1.570; 0.252;
   1.580; 0.251;
   1.590; 0.253;
   1.600; 0.253;
   1.610; 0.253;
   1.620; 0.253;
   1.630; 0.252;
   1.640; 0.252;
   1.650; 0.252;
   1.660; 0.252;
   1.670; 0.252;
   1.680; 0.252;
   1.690; 0.252;
   1.700; 0.252;
   1.710; 0.252;
   1.720; 0.252;
   1.730; 0.252;
   1.740; 0.252;
   1.750; 0.252;
   1.760; 0.252;
   1.770; 0.251;
   1.780; 0.251;
   1.790; 0.251;
   1.800; 0.251;
   1.810; 0.251;
   1.820; 0.251;
   1.830; 0.251;
   1.840; 0.251;
   1.850; 0.251;
   1.860; 0.251;
   1.870; 0.251;
   1.880; 0.250;
   1.890; 0.250;
   1.900; 0.250;
   1.910; 0.250;
   1.920; 0.250;
   1.930; 0.250;
   1.940; 0.250;
   1.950; 0.250;
   1.960; 0.250;
   1.970; 0.250;
   1.980; 0.250;
   1.990; 0.250;
   2.000; 0.250;
   2.010; 0.249;
   2.020; 0.249;
   2.030; 0.249;
   2.040; 0.249;
   2.050; 0.249;
   2.060; 0.249;
   2.070; 0.249;
   2.080; 0.249;
   2.090; 0.249;
   2.100; 0.249;
   2.110; 0.249;
   2.120; 0.249;
   2.130; 0.248;
   2.140; 0.248;
   2.150; 0.248;
   2.160; 0.248;
   2.170; 0.248;
   2.180; 0.249;
   2.190; 0.248;
   2.200; 0.248;
   2.210; 0.249;
   2.220; 0.249;
   2.230; 0.248;
   2.240; 0.249;
   2.250; 0.252;
   2.260; 0.251;
   2.270; 0.252;
   2.280; 0.254;
   2.290; 0.255;
   2.300; 0.253;
   2.310; 0.255;
   2.320; 0.254;
   2.330; 0.255;
   2.340; 0.255;
   2.350; 0.255;
   2.360; 0.255;
   2.370; 0.254;
   2.380; 0.254;
   2.390; 0.256;
   2.400; 0.254;
   2.410; 0.255;
   2.420; 0.257;
   2.430; 0.256;
   2.440; 0.256;
   2.450; 0.255;
   2.460; 0.254;
   2.470; 0.254;
   2.480; 0.290;
   2.490; 0.351;
   2.500; 0.378;
   2.510; 0.391;
   2.520; 0.397;
   2.530; 0.399;
   2.540; 0.398;
   2.550; 0.398;
   2.560; 0.399;
   2.570; 0.399;
   2.580; 0.399;
   2.590; 0.402;
   2.600; 0.404;
   2.610; 0.403;
   2.620; 0.403;
   2.630; 0.402;
   2.640; 0.402;
   2.650; 0.402;
   2.660; 0.403;
   2.670; 0.404;
   2.680; 0.403;
   2.690; 0.404;
   2.700; 0.406;
   2.710; 0.407;
   2.720; 0.408;
   2.730; 0.409;
   2.740; 0.410;
   2.750; 0.411;
   2.760; 0.410;
   2.770; 0.411;
   2.780; 0.414;
   2.790; 0.415;
   2.800; 0.415;
   2.810; 0.415;
   2.820; 0.415;
   2.830; 0.415;
   2.840; 0.411;
   2.850; 0.412;
   2.860; 0.411;
   2.870; 0.411;
   2.880; 0.412;
   2.890; 0.413;
   2.900; 0.416;
   2.910; 0.415;
   2.920; 0.417;
   2.930; 0.415;
   2.940; 0.413;
   2.950; 0.414;
   2.960; 0.411;
   2.970; 0.412;
   2.980; 0.413;
   2.990; 0.413;
   3.000; 0.415;
   3.010; 0.412;
   3.020; 0.415;
   3.030; 0.416;
   3.040; 0.415;
   3.050; 0.415;
   3.060; 0.415;
   3.070; 0.415;
   3.080; 0.415;
   3.090; 0.413;
   3.100; 0.414;
   3.110; 0.415;
   3.120; 0.415;
   3.130; 0.416;
   3.140; 0.416;
   3.150; 0.417;
   3.160; 0.415;
   3.170; 0.402;
   3.180; 0.406;
   3.190; 0.409;
   3.200; 0.411;
   3.210; 0.415;
   3.220; 0.414;
   3.230; 0.414;
   3.240; 0.395;
   3.250; 0.369;
   3.260; 0.348;
   3.270; 0.333;
   3.280; 0.324;
   3.290; 0.322;
   3.300; 0.321;
   3.310; 0.318;
   3.320; 0.316;
   3.330; 0.313;
   3.340; 0.311;
   3.350; 0.308;
   3.360; 0.306;
   3.370; 0.303;
   3.380; 0.304;
   3.390; 0.301;
   3.400; 0.301;
   3.410; 0.299;
   3.420; 0.298;
   3.430; 0.298;
   3.440; 0.296;
   3.450; 0.295;
   3.460; 0.295;
   3.470; 0.294;
   3.480; 0.293;
   3.490; 0.293;
   3.500; 0.291;
   3.510; 0.290;
   3.520; 0.291;
   3.530; 0.289;
   3.540; 0.288;
   3.550; 0.288;
   3.560; 0.286;
   3.570; 0.285;
   3.580; 0.285;
   3.590; 0.284;
   3.600; 0.284;
   3.610; 0.284;
   3.620; 0.283;
   3.630; 0.283;
   3.640; 0.284;
   3.650; 0.282;
   3.660; 0.281;
   3.670; 0.281;
   3.680; 0.280;
   3.690; 0.281;
   3.700; 0.282;
   3.710; 0.281;
   3.720; 0.280;
   3.730; 0.279;
   3.740; 0.279;
   3.750; 0.279;
   3.760; 0.279;
   3.770; 0.279;
   3.780; 0.277;
   3.790; 0.280;
   3.800; 0.278;
   3.810; 0.277;
   3.820; 0.277;
   3.830; 0.279;
   3.840; 0.277;
   3.850; 0.275;
   3.860; 0.277;
   3.870; 0.276;
   3.880; 0.276;
   3.890; 0.276;
   3.900; 0.277;
   3.910; 0.278;
   3.920; 0.275;
   3.930; 0.276;
   3.940; 0.276;
   3.950; 0.277;
   3.960; 0.277;
   3.970; 0.278;
   3.980; 0.277;
   3.990; 0.276;
   4.000; 0.275;
   4.010; 0.275;
   4.020; 0.275;
   4.030; 0.273;
   4.040; 0.273;
   4.050; 0.273;
   4.060; 0.274;
   4.070; 0.272;
   4.080; 0.273;
   4.090; 0.272;
   4.100; 0.273;
   4.110; 0.274;
   4.120; 0.273;
   4.130; 0.272;
   4.140; 0.273;
   4.150; 0.272;
   4.160; 0.273;
   4.170; 0.273;
   4.180; 0.270;
   4.190; 0.270;
   4.200; 0.270;
   4.210; 0.271;
   4.220; 0.270;
   4.230; 0.270;
   4.240; 0.270;
   4.250; 0.270;
   4.260; 0.271;
   4.270; 0.271;
   4.280; 0.269;
   4.290; 0.270;
   4.300; 0.269;
   4.310; 0.269;
   4.320; 0.269;
   4.330; 0.268;
   4.340; 0.269;
   4.350; 0.268;
   4.360; 0.268;
   4.370; 0.269;
   4.380; 0.269;
   4.390; 0.269;
   4.400; 0.269;
   4.410; 0.269;
   4.420; 0.268;
   4.430; 0.268;
   4.440; 0.268;
   4.450; 0.268;
   4.460; 0.268;
   4.470; 0.267;
   4.480; 0.268;
   4.490; 0.270;
   4.500; 0.272;
   4.510; 0.271;
   4.520; 0.270;
   4.530; 0.270;
   4.540; 0.270;
   4.550; 0.268;
   4.560; 0.270;
   4.570; 0.268;
   4.580; 0.268;
   4.590; 0.267;
   4.600; 0.268;
   4.610; 0.268;
   4.620; 0.268;
   4.630; 0.266;
   4.640; 0.267;
   4.650; 0.266;
   4.660; 0.266;
   4.670; 0.266;
   4.680; 0.265;
   4.690; 0.267;
   4.700; 0.268;
   4.710; 0.266;
   4.720; 0.265;
   4.730; 0.266;
   4.740; 0.266;
   4.750; 0.264;
   4.760; 0.266;
   4.770; 0.269;
   4.780; 0.270;
   4.790; 0.269;
   4.800; 0.268;
   4.810; 0.268;
   4.820; 0.268;
   4.830; 0.267;
   4.840; 0.266;
   4.850; 0.266;
   4.860; 0.266;
   4.870; 0.267;
   4.880; 0.266;
   4.890; 0.266;
   4.900; 0.266;
   4.910; 0.265;
   4.920; 0.265;
   4.930; 0.266;
   4.940; 0.268;
   4.950; 0.267;
   4.960; 0.268;
   4.970; 0.267;
   4.980; 0.269;
   4.990; 0.269;
   5.000; 0.268;
   5.010; 0.268;
   5.020; 0.269;
   5.030; 0.268;
   5.040; 0.268;
   5.050; 0.269;
   5.060; 0.270;
   5.070; 0.268;
   5.080; 0.268;
   5.090; 0.266;
   5.100; 0.267;
   5.110; 0.265;
   5.120; 0.265;
   5.130; 0.267;
   5.140; 0.267;
   5.150; 0.266;
   5.160; 0.265;
   5.170; 0.265;
   5.180; 0.264;
   5.190; 0.263;
   5.200; 0.264;
   5.210; 0.265;
   5.220; 0.265;
   5.230; 0.266;
   5.240; 0.265;
   5.250; 0.264;
   5.260; 0.267;
   5.270; 0.266;
   5.280; 0.266;
   5.290; 0.266;
   5.300; 0.267;
   5.310; 0.266;
   5.320; 0.265;
   5.330; 0.266;
   5.340; 0.265;
   5.350; 0.266;
   5.360; 0.266;
   5.370; 0.265;
   5.380; 0.266;
   5.390; 0.263;
   5.400; 0.264;
   5.410; 0.264;
   5.420; 0.266;
   5.430; 0.265;
   5.440; 0.265;
   5.450; 0.265;
   5.460; 0.266;
   5.470; 0.266;
   5.480; 0.266;
   5.490; 0.266;
   5.500; 0.266;
   5.510; 0.265;
   5.520; 0.266;
   5.530; 0.266;
   5.540; 0.266;
   5.550; 0.267;
   5.560; 0.269;
   5.570; 0.270;
   5.580; 0.268;
   5.590; 0.268;
   5.600; 0.266;
   5.610; 0.264;
   5.620; 0.266;
   5.630; 0.264;
   5.640; 0.264;
   5.650; 0.264;
   5.660; 0.265;
   5.670; 0.264;
   5.680; 0.263;
   5.690; 0.265;
   5.700; 0.265;
   5.710; 0.265;
   5.720; 0.264;
   5.730; 0.265;
   5.740; 0.264;
   5.750; 0.266;
   5.760; 0.267;
   5.770; 0.266;
   5.780; 0.266;
   5.790; 0.266;
   5.800; 0.266;
   5.810; 0.265;
   5.820; 0.263;
   5.830; 0.263;
   5.840; 0.264;
   5.850; 0.265;
   5.860; 0.263;
   5.870; 0.263;
   5.880; 0.263;
   5.890; 0.265;
   5.900; 0.264;
   5.910; 0.263;
   5.920; 0.263;
   5.930; 0.264;
   5.940; 0.264;
   5.950; 0.264;
   5.960; 0.264;
   5.970; 0.264;
   5.980; 0.264;
   5.990; 0.263;
   6.000; 0.263;
   6.010; 0.262;
   6.020; 0.261;
   6.030; 0.261;
   6.040; 0.264;
   6.050; 0.263;
   6.060; 0.262;
   6.070; 0.262;
   6.080; 0.261;
   6.090; 0.263;
   6.100; 0.263;
   6.110; 0.263;
   6.120; 0.264;
   6.130; 0.265;
   6.140; 0.264;
   6.150; 0.263;
   6.160; 0.264;
   6.170; 0.264;
   6.180; 0.265;
   6.190; 0.263;
   6.200; 0.263;
   6.210; 0.263;
   6.220; 0.263;
   6.230; 0.262;
   6.240; 0.263;
   6.250; 0.264;
   6.260; 0.263;
   6.270; 0.263;
   6.280; 0.264;
   6.290; 0.264;
   6.300; 0.265;
   6.310; 0.264;
   6.320; 0.265;
   6.330; 0.266;
   6.340; 0.265;
   6.350; 0.265;
   6.360; 0.266;
   6.370; 0.265;
   6.380; 0.267;
   6.390; 0.266;
   6.400; 0.264;
   6.410; 0.264;
   6.420; 0.264;
   6.430; 0.263;
   6.440; 0.261;
   6.450; 0.263;
   6.460; 0.263;
   6.470; 0.261;
   6.480; 0.262;
   6.490; 0.262;
   6.500; 0.261;
   6.510; 0.260;
   6.520; 0.257;
   6.530; 0.258;
   6.540; 0.258;
   6.550; 0.257;
   6.560; 0.257;
   6.570; 0.259;
   6.580; 0.260;
   6.590; 0.258;
   6.600; 0.258;
   6.610; 0.258;
   6.620; 0.260;
   6.630; 0.260;
   6.640; 0.261;
   6.650; 0.261;
   6.660; 0.262;
   6.670; 0.262;
   6.680; 0.262;
   6.690; 0.263;
   6.700; 0.264;
   6.710; 0.264;
   6.720; 0.264;
   6.730; 0.264;
   6.740; 0.264;
   6.750; 0.264;
   6.760; 0.264;
   6.770; 0.264;
   6.780; 0.263;
   6.790; 0.262;
   6.800; 0.261;
   6.810; 0.263;
   6.820; 0.263;
   6.830; 0.262;
   6.840; 0.261;
   6.850; 0.263;
   6.860; 0.263;
   6.870; 0.263;
   6.880; 0.262;
   6.890; 0.263;
   6.900; 0.263;
   6.910; 0.261;
   6.920; 0.261;
   6.930; 0.261;
   6.940; 0.264;
   6.950; 0.263;
   6.960; 0.263;
   6.970; 0.263;
   6.980; 0.263;
   6.990; 0.262;
   7.000; 0.262;
   7.010; 0.264;
   7.020; 0.264;
   7.030; 0.263;
   7.040; 0.262;
   7.050; 0.263;
   7.060; 0.263;
   7.070; 0.261;
   7.080; 0.262;
   7.090; 0.263;
   7.100; 0.264;
   7.110; 0.264;
   7.120; 0.264;
   7.130; 0.264;
   7.140; 0.263;
   7.150; 0.262;
   7.160; 0.262;
   7.170; 0.263;
   7.180; 0.263;
   7.190; 0.263;
   7.200; 0.262;
   7.210; 0.263;
   7.220; 0.263;
   7.230; 0.262;
   7.240; 0.262;
   7.250; 0.261;
   7.260; 0.263;
   7.270; 0.261;
   7.280; 0.262;
   7.290; 0.264;
   7.300; 0.264;
   7.310; 0.262;
   7.320; 0.261;
   7.330; 0.261;
   7.340; 0.261;
   7.350; 0.261;
   7.360; 0.261;
   7.370; 0.264;
   7.380; 0.263;
   7.390; 0.263;
   7.400; 0.262;
   7.410; 0.263;
   7.420; 0.263;
   7.430; 0.261;
   7.440; 0.261;
   7.450; 0.262;
   7.460; 0.261;
   7.470; 0.262;
   7.480; 0.262;
   7.490; 0.262;
   7.500; 0.263;
   7.510; 0.262;
   7.520; 0.261;
   7.530; 0.263;
   7.540; 0.263;
   7.550; 0.262;
   7.560; 0.263;
   7.570; 0.264;
   7.580; 0.264;
   7.590; 0.264;
   7.600; 0.264;
   7.610; 0.263;
   7.620; 0.261;
   7.630; 0.260;
   7.640; 0.259;
   7.650; 0.261;
   7.660; 0.260;
   7.670; 0.259;
   7.680; 0.259;
   7.690; 0.258;
   7.700; 0.260;
   7.710; 0.259;
   7.720; 0.261;
   7.730; 0.263;
   7.740; 0.264;
   7.750; 0.263;
   7.760; 0.263;
   7.770; 0.262;
   7.780; 0.264;
   7.790; 0.261;
   7.800; 0.260;
   7.810; 0.261;
   7.820; 0.261;
   7.830; 0.259;
   7.840; 0.259;
   7.850; 0.259;
   7.860; 0.259;
   7.870; 0.259;
   7.880; 0.260;
   7.890; 0.262;
   7.900; 0.261;
   7.910; 0.261;
   7.920; 0.262;
   7.930; 0.263;
   7.940; 0.262;
   7.950; 0.263;
   7.960; 0.263;
   7.970; 0.263;
   7.980; 0.262;
   7.990; 0.261;
   8.000; 0.262;
   8.010; 0.262;
   8.020; 0.262;
   8.030; 0.262;
   8.040; 0.262;
   8.050; 0.261;
   8.060; 0.260;
   8.070; 0.259;
   8.080; 0.259;
   8.090; 0.261;
   8.100; 0.262;
   8.110; 0.261;
   8.120; 0.264;
   8.130; 0.262;
   8.140; 0.261;
   8.150; 0.262;
   8.160; 0.262;
   8.170; 0.263;
   8.180; 0.262;
   8.190; 0.258;
   8.200; 0.258;
   8.210; 0.259;
   8.220; 0.261;
   8.230; 0.260;
   8.240; 0.261;
   8.250; 0.262;
   8.260; 0.262;
   8.270; 0.262;
   8.280; 0.262;
   8.290; 0.261;
   8.300; 0.264;
   8.310; 0.261;
   8.320; 0.261;
   8.330; 0.262;
   8.340; 0.262;
   8.350; 0.263;
   8.360; 0.262;
   8.370; 0.262;
   8.380; 0.263;
   8.390; 0.262;
   8.400; 0.263;
   8.410; 0.261;
   8.420; 0.261;
   8.430; 0.258;
   8.440; 0.259;
   8.450; 0.258;
   8.460; 0.258;
   8.470; 0.256;
   8.480; 0.256;
   8.490; 0.257;
   8.500; 0.256;
   8.510; 0.256;
   8.520; 0.257;
   8.530; 0.259;
   8.540; 0.261;
   8.550; 0.262;
   8.560; 0.261;
   8.570; 0.262;
   8.580; 0.262;
   8.590; 0.261;
   8.600; 0.260;
   8.610; 0.259;
   8.620; 0.259;
   8.630; 0.260;
   8.640; 0.260;
   8.650; 0.260;
   8.660; 0.261;
   8.670; 0.259;
   8.680; 0.259;
   8.690; 0.260;
   8.700; 0.262;
   8.710; 0.260;
   8.720; 0.261;
   8.730; 0.259;
   8.740; 0.261;
   8.750; 0.259;
   8.760; 0.259;
   8.770; 0.259;
   8.780; 0.261;
   8.790; 0.260;
   8.800; 0.259;
   8.810; 0.261;
   8.820; 0.261;
   8.830; 0.260;
   8.840; 0.261;
   8.850; 0.259;
   8.860; 0.261;
   8.870; 0.260;
   8.880; 0.260;
   8.890; 0.261;
   8.900; 0.261;
   8.910; 0.261;
   8.920; 0.261;
   8.930; 0.262;
   8.940; 0.261;
   8.950; 0.261;
   8.960; 0.262;
   8.970; 0.261;
   8.980; 0.262;
   8.990; 0.261;
   9.000; 0.261;
   9.010; 0.264;
   9.020; 0.263;
   9.030; 0.261;
   9.040; 0.263;
   9.050; 0.263;
   9.060; 0.262;
   9.070; 0.262;
   9.080; 0.262;
   9.090; 0.262;
   9.100; 0.261;
   9.110; 0.260;
   9.120; 0.259;
   9.130; 0.260;
   9.140; 0.259;
   9.150; 0.258;
   9.160; 0.259;
   9.170; 0.262;
   9.180; 0.260;
   9.190; 0.258;
   9.200; 0.259;
   9.210; 0.259;
   9.220; 0.260;
   9.230; 0.261;
   9.240; 0.261;
   9.250; 0.261;
   9.260; 0.261;
   9.270; 0.260;
   9.280; 0.258;
   9.290; 0.259;
   9.300; 0.259;
   9.310; 0.260;
   9.320; 0.260;
   9.330; 0.261;
   9.340; 0.261;
   9.350; 0.261;
   9.360; 0.262;
   9.370; 0.262;
   9.380; 0.260;
   9.390; 0.260;
   9.400; 0.261;
   9.410; 0.261;
   9.420; 0.262;
   9.430; 0.263;
   9.440; 0.261;
   9.450; 0.261;
   9.460; 0.260;
   9.470; 0.260;
   9.480; 0.259;
   9.490; 0.259;
   9.500; 0.260;
   9.510; 0.259;
   9.520; 0.258;
   9.530; 0.260;
   9.540; 0.261;
   9.550; 0.262;
   9.560; 0.262;
   9.570; 0.262;
   9.580; 0.262;
   9.590; 0.262;
   9.600; 0.262;
   9.610; 0.261;
   9.620; 0.261;
   9.630; 0.261;
   9.640; 0.260;
   9.650; 0.261;
   9.660; 0.262;
   9.670; 0.258;
   9.680; 0.260;
   9.690; 0.261;
   9.700; 0.261;
   9.710; 0.260;
   9.720; 0.260;
   9.730; 0.262;
   9.740; 0.261;
   9.750; 0.261;
   9.760; 0.261;
   9.770; 0.261;
   9.780; 0.261;
   9.790; 0.259;
   9.800; 0.259;
   9.810; 0.260;
   9.820; 0.259;
   9.830; 0.259;
   9.840; 0.262;
   9.850; 0.259;
   9.860; 0.259;
   9.870; 0.259;
   9.880; 0.260;
   9.890; 0.261;
   9.900; 0.261;
   9.910; 0.259;
   9.920; 0.260;
   9.930; 0.259;
   9.940; 0.260;
   9.950; 0.259;
   9.960; 0.261;
