Time;F;
   0.010; 3.224;
   0.020; 3.224;
   0.030; 3.224;
   0.040; 3.225;
   0.050; 3.224;
   0.060; 3.224;
   0.070; 3.224;
   0.080; 3.224;
   0.090; 3.223;
   0.100; 3.221;
   0.110; 3.223;
   0.120; 3.223;
   0.130; 3.222;
   0.140; 3.222;
   0.150; 3.221;
   0.160; 3.223;
   0.170; 3.223;
   0.180; 3.225;
   0.190; 3.224;
   0.200; 3.224;
   0.210; 3.223;
   0.220; 3.224;
   0.230; 3.224;
   0.240; 3.224;
   0.250; 3.223;
   0.260; 3.223;
   0.270; 3.221;
   0.280; 3.222;
   0.290; 3.222;
   0.300; 3.223;
   0.310; 3.224;
   0.320; 3.225;
   0.330; 3.225;
   0.340; 3.224;
   0.350; 3.223;
   0.360; 3.225;
   0.370; 3.224;
   0.380; 3.225;
   0.390; 3.225;
   0.400; 3.226;
   0.410; 3.225;
   0.420; 3.226;
   0.430; 3.225;
   0.440; 3.227;
   0.450; 3.227;
   0.460; 3.225;
   0.470; 3.223;
   0.480; 3.224;
   0.490; 3.225;
   0.500; 3.225;
   0.510; 3.222;
   0.520; 3.223;
   0.530; 3.223;
   0.540; 3.223;
   0.550; 3.225;
   0.560; 3.225;
   0.570; 3.225;
   0.580; 3.225;
   0.590; 3.225;
   0.600; 3.224;
   0.610; 3.224;
   0.620; 3.222;
   0.630; 3.221;
   0.640; 3.222;
   0.650; 3.221;
   0.660; 3.221;
   0.670; 3.221;
   0.680; 3.222;
   0.690; 3.223;
   0.700; 3.221;
   0.710; 3.221;
   0.720; 3.223;
   0.730; 3.223;
   0.740; 3.224;
   0.750; 3.223;
   0.760; 3.223;
   0.770; 3.223;
   0.780; 3.223;
   0.790; 3.223;
   0.800; 3.223;
   0.810; 3.223;
   0.820; 3.222;
   0.830; 3.222;
   0.840; 3.223;
   0.850; 3.223;
   0.860; 3.222;
   0.870; 3.221;
   0.880; 3.222;
   0.890; 3.223;
   0.900; 3.223;
   0.910; 3.223;
   0.920; 3.224;
   0.930; 3.222;
   0.940; 3.222;
   0.950; 3.223;
   0.960; 3.224;
   0.970; 3.223;
   0.980; 3.221;
   0.990; 3.224;
   1.000; 3.224;
   1.010; 3.224;
   1.020; 3.225;
   1.030; 3.225;
   1.040; 3.226;
   1.050; 3.224;
   1.060; 3.225;
   1.070; 3.224;
   1.080; 3.226;
   1.090; 3.225;
   1.100; 3.225;
   1.110; 3.223;
   1.120; 3.221;
   1.130; 3.222;
   1.140; 3.222;
   1.150; 3.223;
   1.160; 3.225;
   1.170; 3.224;
   1.180; 3.225;
   1.190; 3.225;
   1.200; 3.226;
   1.210; 3.224;
   1.220; 3.225;
   1.230; 3.223;
   1.240; 3.224;
   1.250; 3.224;
   1.260; 3.224;
   1.270; 3.224;
   1.280; 3.224;
   1.290; 3.224;
   1.300; 3.224;
   1.310; 3.223;
