wavelength, intensity_rel
399.68454,0.00637
408.83281,0.00955
416.40379,0.03185
420.18927,0.06369
425.23659,0.11465
429.653,0.19427
432.17666,0.29936
434.0694,0.38217
437.85489,0.50637
439.74763,0.67516
442.27129,0.79618
444.79495,0.85987
447.94953,0.79618
451.73502,0.55096
454.25868,0.40764
461.82965,0.28025
466.87697,0.21656
468.76972,0.1879
473.18612,0.16561
477.60252,0.17197
482.01893,0.19108
485.1735,0.20701
487.69716,0.2293
495.26814,0.32803
505.99369,0.49045
514.8265,0.59873
525.55205,0.66561
529.96845,0.69427
533.75394,0.70064
535.01577,0.71975
541.95584,0.73248
547.63407,0.75796
553.94322,0.77707
560.88328,0.80255
564.03785,0.79299
567.82334,0.80892
572.87066,0.82803
576.65615,0.81529
584.22713,0.82484
587.3817,0.84076
590.53628,0.83439
594.95268,0.84713
600.63091,0.87261
605.04732,0.86943
609.46372,0.90446
612.6183,0.92038
616.40379,0.92357
620.82019,0.95541
630.91483,0.99363
638.4858,0.98089
642.27129,0.97771
648.58044,0.93312
654.25868,0.8949
658.67508,0.86624
666.24606,0.78662
675.70978,0.68153
680.7571,0.61783
685.80442,0.57325
692.74448,0.50318
697.7918,0.43949
705.36278,0.36306
714.19558,0.28025
719.87382,0.24522
732.49211,0.17834
740.06309,0.14331
749.52681,0.1051
762.77603,0.06688
781.07256,0.0414
799.05363,0.02548
