wavelength, intensity_rel
400,0.000412
401,0.000375
402,0.000338
403,0.000750
404,0.000900
405,0.000900
406,0.000600
407,0.000150
408,0.000150
409,0.000225
410,0.000262
411,0.000300
412,0.000281
413,0.000262
414,0.000244
415,0.000206
416,0.000187
417,0.000169
418,0.000150
419,0.000150
420,0.000150
421,0.000150
422,0.000150
423,0.000150
424,0.000450
425,0.000450
426,0.000600
427,0.000600
428,0.000600
429,0.000750
430,0.000750
431,0.001200
432,0.001204
433,0.004200
434,0.006075
435,0.007950
436,0.006938
437,0.005925
438,0.004913
439,0.002950
440,0.002000
441,0.001050
442,0.000900
443,0.000750
444,0.000750
445,0.000600
446,0.000600
447,0.000450
448,0.000450
449,0.000450
450,0.000450
451,0.000150
452,0.000150
453,0.000150
454,0.000150
455,0.000150
456,0.000150
457,0.000150
458,0.000150
459,0.000150
460,0.000150
461,0.000150
462,0.000150
463,0.000150
464,0.000300
465,0.000450
466,0.000450
467,0.000450
468,0.000600
469,0.000600
470,0.000600
471,0.000600
472,0.000600
473,0.000600
474,0.000750
475,0.000750
476,0.000750
477,0.000750
478,0.000900
479,0.001050
480,0.001200
481,0.001350
482,0.001500
483,0.001800
484,0.002100
485,0.002550
486,0.004050
487,0.004800
488,0.005100
489,0.004950
490,0.004650
491,0.004350
492,0.003750
493,0.003450
494,0.003150
495,0.003000
496,0.002850
497,0.002550
498,0.001950
499,0.001500
500,0.001350
501,0.001200
502,0.001050
503,0.000900
504,0.000850
505,0.000800
506,0.000750
507,0.000750
508,0.000750
509,0.000600
510,0.000600
511,0.000600
512,0.000600
513,0.000600
514,0.000600
515,0.000600
516,0.000600
517,0.000600
518,0.000600
519,0.000600
520,0.000600
521,0.000600
522,0.000600
523,0.000600
524,0.000750
525,0.000750
526,0.000800
527,0.000900
528,0.000950
529,0.001000
530,0.001050
531,0.001200
532,0.001350
533,0.001650
534,0.001800
535,0.002100
536,0.002700
537,0.004150
538,0.005600
539,0.010600
540,0.014151
541,0.017701
542,0.022701
543,0.027701
544,0.032701
545,0.030301
546,0.029101
547,0.025151
548,0.021201
549,0.017250
550,0.009000
551,0.007688
552,0.006375
553,0.005063
554,0.003750
555,0.003150
556,0.002100
557,0.001950
558,0.001650
559,0.001500
560,0.001500
561,0.001350
562,0.001362
563,0.001373
564,0.001385
565,0.001396
566,0.001408
567,0.001419
568,0.001442
569,0.001454
570,0.001465
571,0.001477
572,0.001489
573,0.001500
574,0.002100
575,0.002644
576,0.003188
577,0.003731
578,0.004275
579,0.004819
580,0.005906
581,0.006450
582,0.006900
583,0.007200
584,0.007650
585,0.008100
586,0.009450
587,0.008400
588,0.007500
589,0.006750
590,0.006150
591,0.005850
592,0.005250
593,0.004950
594,0.004650
595,0.004050
596,0.003600
597,0.003450
598,0.003750
599,0.003600
600,0.003450
601,0.003000
602,0.002550
603,0.002400
604,0.002550
605,0.004988
606,0.007425
607,0.009863
608,0.012300
609,0.022501
610,0.027376
611,0.032251
612,0.029901
613,0.027551
614,0.025201
615,0.013950
616,0.011250
617,0.008550
618,0.005850
619,0.005490
620,0.005130
621,0.004410
622,0.004050
623,0.003750
624,0.003450
625,0.003450
626,0.003450
627,0.004050
628,0.004500
629,0.004800
630,0.004650
631,0.004500
632,0.004050
633,0.002850
634,0.002100
635,0.001350
636,0.001050
637,0.001050
638,0.001017
639,0.000950
640,0.000917
641,0.000883
642,0.000850
643,0.000817
644,0.000784
645,0.000750
646,0.000750
647,0.000900
648,0.001050
649,0.001200
650,0.001350
651,0.001200
652,0.001050
653,0.000900
654,0.000900
655,0.000911
656,0.000932
657,0.000943
658,0.000954
659,0.000964
660,0.000975
661,0.000986
662,0.001007
663,0.001018
664,0.001029
665,0.001039
666,0.001050
667,0.000986
668,0.000857
669,0.000793
670,0.000728
671,0.000664
672,0.000600
673,0.000600
674,0.000600
675,0.000600
676,0.000600
677,0.000600
678,0.000600
679,0.000600
680,0.000600
681,0.000600
682,0.000600
683,0.000600
684,0.000600
685,0.000600
686,0.000600
687,0.000600
688,0.000600
689,0.000600
690,0.000600
691,0.000600
692,0.000600
693,0.000600
694,0.000600
695,0.000600
696,0.000600
697,0.000600
698,0.000600
699,0.000600
700,0.000600
