wavelength, intensity_rel
400,0.000113
401,0.000113
402,0.000118
403,0.000122
404,0.000127
405,0.000132
406,0.000136
407,0.000141
408,0.000145
409,0.000150
410,0.000154
411,0.000159
412,0.000163
413,0.000168
414,0.000173
415,0.000177
416,0.000182
417,0.000186
418,0.000191
419,0.000195
420,0.000201
421,0.000207
422,0.000215
423,0.000224
424,0.000232
425,0.000240
426,0.000249
427,0.000257
428,0.000266
429,0.000274
430,0.000283
431,0.000292
432,0.000302
433,0.000313
434,0.000323
435,0.000334
436,0.000345
437,0.000355
438,0.000366
439,0.000377
440,0.000387
441,0.000398
442,0.000409
443,0.000419
444,0.000432
445,0.000445
446,0.000460
447,0.000475
448,0.000490
449,0.000505
450,0.000520
451,0.000535
452,0.000550
453,0.000565
454,0.000580
455,0.000595
456,0.000612
457,0.000631
458,0.000654
459,0.000677
460,0.000701
461,0.000725
462,0.000749
463,0.000774
464,0.000806
465,0.000847
466,0.000896
467,0.000944
468,0.000992
469,0.001045
470,0.001104
471,0.001168
472,0.001232
473,0.001294
474,0.001353
475,0.001409
476,0.001465
477,0.001521
478,0.001577
479,0.001637
480,0.001703
481,0.001776
482,0.001854
483,0.001931
484,0.002009
485,0.002087
486,0.002166
487,0.002243
488,0.002312
489,0.002375
490,0.002431
491,0.002487
492,0.002543
493,0.002600
494,0.002655
495,0.002708
496,0.002757
497,0.002804
498,0.002851
499,0.002897
500,0.002947
501,0.003001
502,0.003060
503,0.003120
504,0.003181
505,0.003238
506,0.003289
507,0.003336
508,0.003382
509,0.003427
510,0.003473
511,0.003517
512,0.003560
513,0.003601
514,0.003641
515,0.003681
516,0.003722
517,0.003762
518,0.003802
519,0.003839
520,0.003871
521,0.003899
522,0.003926
523,0.003953
524,0.003980
525,0.004007
526,0.004035
527,0.004064
528,0.004093
529,0.004122
530,0.004151
531,0.004179
532,0.004204
533,0.004227
534,0.004247
535,0.004268
536,0.004288
537,0.004309
538,0.004329
539,0.004349
540,0.004367
541,0.004385
542,0.004402
543,0.004420
544,0.004437
545,0.004455
546,0.004472
547,0.004490
548,0.004512
549,0.004538
550,0.004567
551,0.004596
552,0.004625
553,0.004654
554,0.004683
555,0.004714
556,0.004751
557,0.004794
558,0.004842
559,0.004883
560,0.004919
561,0.004949
562,0.004978
563,0.005003
564,0.005022
565,0.005037
566,0.005053
567,0.005074
568,0.005098
569,0.005124
570,0.005151
571,0.005173
572,0.005190
573,0.005201
574,0.005211
575,0.005221
576,0.005230
577,0.005240
578,0.005252
579,0.005265
580,0.005280
581,0.005294
582,0.005309
583,0.005323
584,0.005335
585,0.005346
586,0.005355
587,0.005363
588,0.005370
589,0.005374
590,0.005374
591,0.005374
592,0.005374
593,0.005370
594,0.005357
595,0.005336
596,0.005314
597,0.005297
598,0.005284
599,0.005273
600,0.005259
601,0.005244
602,0.005228
603,0.005213
604,0.005197
605,0.005179
606,0.005159
607,0.005137
608,0.005115
609,0.005093
610,0.005076
611,0.005063
612,0.005054
613,0.005046
614,0.005037
615,0.005029
616,0.005020
617,0.005012
618,0.005005
619,0.004999
620,0.004992
621,0.004986
622,0.004980
623,0.004974
624,0.004968
625,0.004962
626,0.004958
627,0.004955
628,0.004953
629,0.004951
630,0.004950
631,0.004948
632,0.004945
633,0.004941
634,0.004935
635,0.004930
636,0.004925
637,0.004919
638,0.004914
639,0.004907
640,0.004899
641,0.004890
642,0.004881
643,0.004872
644,0.004863
645,0.004854
646,0.004845
647,0.004835
648,0.004823
649,0.004811
650,0.004797
651,0.004784
652,0.004770
653,0.004756
654,0.004740
655,0.004725
656,0.004709
657,0.004693
658,0.004674
659,0.004652
660,0.004628
661,0.004604
662,0.004579
663,0.004554
664,0.004526
665,0.004497
666,0.004468
667,0.004439
668,0.004410
669,0.004381
670,0.004352
671,0.004322
672,0.004291
673,0.004258
674,0.004226
675,0.004194
676,0.004162
677,0.004129
678,0.004097
679,0.004065
680,0.004032
681,0.004000
682,0.003963
683,0.003923
684,0.003878
685,0.003835
686,0.003794
687,0.003756
688,0.003721
689,0.003688
690,0.003659
691,0.003630
692,0.003604
693,0.003579
694,0.003554
695,0.003530
696,0.003506
697,0.003481
698,0.003456
699,0.003429
700,0.003403
