wavelength, intensity_rel
400,0.000915
401,0.000921
402,0.000930
403,0.000939
404,0.000947
405,0.000954
406,0.000960
407,0.000967
408,0.000975
409,0.000984
410,0.000993
411,0.000999
412,0.001006
413,0.001012
414,0.001021
415,0.001030
416,0.001038
417,0.001045
418,0.001051
419,0.001058
420,0.001066
421,0.001075
422,0.001084
423,0.001090
424,0.001097
425,0.001103
426,0.001112
427,0.001120
428,0.001129
429,0.001136
430,0.001142
431,0.001148
432,0.001157
433,0.001164
434,0.001172
435,0.001180
436,0.001191
437,0.001203
438,0.001219
439,0.001234
440,0.001250
441,0.001261
442,0.001273
443,0.001285
444,0.001300
445,0.001316
446,0.001331
447,0.001343
448,0.001355
449,0.001366
450,0.001382
451,0.001398
452,0.001413
453,0.001425
454,0.001437
455,0.001452
456,0.001468
457,0.001483
458,0.001495
459,0.001507
460,0.001518
461,0.001534
462,0.001549
463,0.001565
464,0.001577
465,0.001588
466,0.001600
467,0.001616
468,0.001631
469,0.001647
470,0.001659
471,0.001670
472,0.001682
473,0.001697
474,0.001713
475,0.001729
476,0.001740
477,0.001752
478,0.001764
479,0.001781
480,0.001797
481,0.001813
482,0.001826
483,0.001838
484,0.001850
485,0.001867
486,0.001883
487,0.001900
488,0.001912
489,0.001924
490,0.001937
491,0.001953
492,0.001969
493,0.001986
494,0.001998
495,0.002010
496,0.002023
497,0.002039
498,0.002055
499,0.002072
500,0.002084
501,0.002096
502,0.002116
503,0.002130
504,0.002152
505,0.002168
506,0.002189
507,0.002205
508,0.002226
509,0.002247
510,0.002268
511,0.002284
512,0.002300
513,0.002315
514,0.002336
515,0.002357
516,0.002378
517,0.002394
518,0.002410
519,0.002425
520,0.002446
521,0.002467
522,0.002488
523,0.002504
524,0.002520
525,0.002536
526,0.002556
527,0.002577
528,0.002598
529,0.002614
530,0.002630
531,0.002646
532,0.002667
533,0.002688
534,0.002709
535,0.002725
536,0.002741
537,0.002758
538,0.002779
539,0.002801
540,0.002823
541,0.002839
542,0.002855
543,0.002871
544,0.002893
545,0.002914
546,0.002936
547,0.002952
548,0.002969
549,0.002990
550,0.003012
551,0.003033
552,0.003050
553,0.003066
554,0.003082
555,0.003104
556,0.003125
557,0.003152
558,0.003169
559,0.003190
560,0.003208
561,0.003238
562,0.003264
563,0.003290
564,0.003309
565,0.003329
566,0.003348
567,0.003374
568,0.003400
569,0.003426
570,0.003445
571,0.003465
572,0.003484
573,0.003510
574,0.003536
575,0.003562
576,0.003582
577,0.003601
578,0.003621
579,0.003647
580,0.003673
581,0.003699
582,0.003718
583,0.003737
584,0.003757
585,0.003783
586,0.003809
587,0.003835
588,0.003854
589,0.003874
590,0.003898
591,0.003929
592,0.003962
593,0.003991
594,0.004013
595,0.004035
596,0.004057
597,0.004087
598,0.004116
599,0.004145
600,0.004167
601,0.004189
602,0.004218
603,0.004248
604,0.004277
605,0.004299
606,0.004321
607,0.004343
608,0.004372
609,0.004401
610,0.004430
611,0.004452
612,0.004474
613,0.004496
614,0.004525
615,0.004555
616,0.004584
617,0.004606
618,0.004628
619,0.004650
620,0.004675
621,0.004704
622,0.004737
623,0.004758
624,0.004780
625,0.004802
626,0.004834
627,0.004866
628,0.004899
629,0.004921
630,0.004942
631,0.004964
632,0.004999
633,0.005030
634,0.005057
635,0.005077
636,0.005098
637,0.005118
638,0.005149
639,0.005184
640,0.005223
641,0.005245
642,0.005267
643,0.005288
644,0.005321
645,0.005353
646,0.005386
647,0.005418
648,0.005440
649,0.005461
650,0.005494
651,0.005537
652,0.005569
653,0.005591
654,0.005613
655,0.005645
656,0.005678
657,0.005710
658,0.005732
659,0.005753
660,0.005775
661,0.005818
662,0.005851
663,0.005883
664,0.005905
665,0.005937
666,0.005959
667,0.005991
668,0.006024
669,0.006067
670,0.006088
671,0.006110
672,0.006132
673,0.006164
674,0.006197
675,0.006229
676,0.006251
677,0.006272
678,0.006294
679,0.006326
680,0.006359
681,0.006391
682,0.006424
683,0.006445
684,0.006467
685,0.006499
686,0.006543
687,0.006586
688,0.006618
689,0.006651
690,0.006683
691,0.006716
692,0.006748
693,0.006781
694,0.006802
695,0.006824
696,0.006846
697,0.006889
698,0.006932
699,0.006975
700,0.007008
