wavelength, intensity_rel
400,0.003248
401,0.003261
402,0.003274
403,0.003287
404,0.003301
405,0.003314
406,0.003327
407,0.003340
408,0.003354
409,0.003367
410,0.003381
411,0.003395
412,0.003409
413,0.003422
414,0.003437
415,0.003451
416,0.003465
417,0.003480
418,0.003495
419,0.003510
420,0.003525
421,0.003541
422,0.003557
423,0.003573
424,0.003589
425,0.003606
426,0.003622
427,0.003639
428,0.003656
429,0.003672
430,0.003688
431,0.003704
432,0.003719
433,0.003734
434,0.003749
435,0.003762
436,0.003775
437,0.003787
438,0.003798
439,0.003809
440,0.003818
441,0.003827
442,0.003836
443,0.003844
444,0.003851
445,0.003857
446,0.003864
447,0.003869
448,0.003874
449,0.003879
450,0.003884
451,0.003888
452,0.003891
453,0.003894
454,0.003897
455,0.003899
456,0.003901
457,0.003903
458,0.003904
459,0.003905
460,0.003905
461,0.003905
462,0.003905
463,0.003904
464,0.003903
465,0.003902
466,0.003900
467,0.003898
468,0.003896
469,0.003894
470,0.003891
471,0.003888
472,0.003885
473,0.003881
474,0.003878
475,0.003874
476,0.003870
477,0.003866
478,0.003861
479,0.003857
480,0.003852
481,0.003847
482,0.003843
483,0.003838
484,0.003833
485,0.003828
486,0.003823
487,0.003818
488,0.003813
489,0.003808
490,0.003803
491,0.003798
492,0.003793
493,0.003789
494,0.003784
495,0.003779
496,0.003775
497,0.003770
498,0.003766
499,0.003761
500,0.003757
501,0.003753
502,0.003748
503,0.003744
504,0.003740
505,0.003736
506,0.003731
507,0.003727
508,0.003723
509,0.003718
510,0.003714
511,0.003710
512,0.003705
513,0.003701
514,0.003696
515,0.003692
516,0.003687
517,0.003682
518,0.003677
519,0.003672
520,0.003667
521,0.003662
522,0.003657
523,0.003652
524,0.003646
525,0.003641
526,0.003635
527,0.003629
528,0.003623
529,0.003617
530,0.003611
531,0.003605
532,0.003599
533,0.003592
534,0.003586
535,0.003579
536,0.003572
537,0.003566
538,0.003559
539,0.003552
540,0.003545
541,0.003538
542,0.003531
543,0.003524
544,0.003517
545,0.003510
546,0.003503
547,0.003496
548,0.003489
549,0.003482
550,0.003474
551,0.003467
552,0.003460
553,0.003453
554,0.003446
555,0.003439
556,0.003432
557,0.003425
558,0.003418
559,0.003411
560,0.003404
561,0.003397
562,0.003390
563,0.003383
564,0.003376
565,0.003369
566,0.003363
567,0.003356
568,0.003350
569,0.003343
570,0.003337
571,0.003330
572,0.003324
573,0.003318
574,0.003312
575,0.003306
576,0.003300
577,0.003294
578,0.003287
579,0.003281
580,0.003274
581,0.003267
582,0.003260
583,0.003252
584,0.003244
585,0.003236
586,0.003228
587,0.003220
588,0.003212
589,0.003203
590,0.003195
591,0.003187
592,0.003178
593,0.003170
594,0.003162
595,0.003154
596,0.003146
597,0.003138
598,0.003130
599,0.003122
600,0.003114
601,0.003106
602,0.003099
603,0.003091
604,0.003084
605,0.003076
606,0.003069
607,0.003062
608,0.003055
609,0.003048
610,0.003041
611,0.003035
612,0.003028
613,0.003022
614,0.003015
615,0.003009
616,0.003003
617,0.002996
618,0.002990
619,0.002984
620,0.002978
621,0.002972
622,0.002967
623,0.002961
624,0.002955
625,0.002949
626,0.002943
627,0.002938
628,0.002932
629,0.002926
630,0.002920
631,0.002915
632,0.002909
633,0.002903
634,0.002897
635,0.002892
636,0.002886
637,0.002880
638,0.002874
639,0.002868
640,0.002862
641,0.002856
642,0.002850
643,0.002844
644,0.002838
645,0.002832
646,0.002826
647,0.002820
648,0.002814
649,0.002808
650,0.002802
651,0.002796
652,0.002789
653,0.002783
654,0.002777
655,0.002771
656,0.002765
657,0.002759
658,0.002753
659,0.002747
660,0.002741
661,0.002735
662,0.002729
663,0.002723
664,0.002717
665,0.002711
666,0.002705
667,0.002699
668,0.002694
669,0.002688
670,0.002682
671,0.002677
672,0.002671
673,0.002666
674,0.002661
675,0.002655
676,0.002650
677,0.002645
678,0.002640
679,0.002635
680,0.002630
681,0.002625
682,0.002621
683,0.002616
684,0.002612
685,0.002607
686,0.002603
687,0.002599
688,0.002595
689,0.002591
690,0.002587
691,0.002584
692,0.002580
693,0.002577
694,0.002574
695,0.002571
696,0.002568
697,0.002565
698,0.002563
699,0.002560
700,0.002558
