wavelength, intensity_rel
400,0.000130
401,0.000139
402,0.000148
403,0.000157
404,0.000166
405,0.000175
406,0.000184
407,0.000193
408,0.000202
409,0.000211
410,0.000220
411,0.000233
412,0.000250
413,0.000272
414,0.000294
415,0.000316
416,0.000342
417,0.000372
418,0.000406
419,0.000442
420,0.000477
421,0.000510
422,0.000541
423,0.000571
424,0.000601
425,0.000630
426,0.000658
427,0.000685
428,0.000710
429,0.000736
430,0.000761
431,0.000787
432,0.000811
433,0.000834
434,0.000856
435,0.000879
436,0.000901
437,0.000923
438,0.000940
439,0.000944
440,0.000934
441,0.000918
442,0.000901
443,0.000884
444,0.000867
445,0.000848
446,0.000825
447,0.000797
448,0.000767
449,0.000737
450,0.000707
451,0.000677
452,0.000647
453,0.000618
454,0.000588
455,0.000559
456,0.000535
457,0.000515
458,0.000498
459,0.000482
460,0.000465
461,0.000448
462,0.000432
463,0.000417
464,0.000403
465,0.000391
466,0.000378
467,0.000365
468,0.000355
469,0.000351
470,0.000354
471,0.000361
472,0.000367
473,0.000373
474,0.000380
475,0.000386
476,0.000392
477,0.000399
478,0.000405
479,0.000412
480,0.000419
481,0.000429
482,0.000441
483,0.000454
484,0.000468
485,0.000481
486,0.000495
487,0.000508
488,0.000521
489,0.000541
490,0.000566
491,0.000599
492,0.000633
493,0.000666
494,0.000700
495,0.000733
496,0.000775
497,0.000824
498,0.000881
499,0.000938
500,0.000994
501,0.001051
502,0.001108
503,0.001165
504,0.001222
505,0.001298
506,0.001407
507,0.001550
508,0.001706
509,0.001863
510,0.002028
511,0.002213
512,0.002417
513,0.002634
514,0.002850
515,0.003062
516,0.003258
517,0.003439
518,0.003609
519,0.003779
520,0.003949
521,0.004119
522,0.004289
523,0.004459
524,0.004641
525,0.004842
526,0.005061
527,0.005284
528,0.005498
529,0.005690
530,0.005859
531,0.006016
532,0.006172
533,0.006329
534,0.006485
535,0.006630
536,0.006754
537,0.006857
538,0.006951
539,0.007045
540,0.007139
541,0.007232
542,0.007326
543,0.007420
544,0.007507
545,0.007586
546,0.007657
547,0.007729
548,0.007796
549,0.007856
550,0.007908
551,0.007960
552,0.008011
553,0.008062
554,0.008106
555,0.008141
556,0.008166
557,0.008188
558,0.008211
559,0.008233
560,0.008255
561,0.008267
562,0.008266
563,0.008253
564,0.008238
565,0.008223
566,0.008205
567,0.008182
568,0.008153
569,0.008123
570,0.008094
571,0.008060
572,0.008019
573,0.007972
574,0.007922
575,0.007871
576,0.007821
577,0.007771
578,0.007719
579,0.007667
580,0.007613
581,0.007558
582,0.007504
583,0.007450
584,0.007396
585,0.007341
586,0.007287
587,0.007233
588,0.007178
589,0.007124
590,0.007068
591,0.007010
592,0.006949
593,0.006887
594,0.006826
595,0.006764
596,0.006703
597,0.006641
598,0.006580
599,0.006518
600,0.006457
601,0.006395
602,0.006334
603,0.006272
604,0.006213
605,0.006156
606,0.006101
607,0.006046
608,0.005991
609,0.005936
610,0.005880
611,0.005825
612,0.005770
613,0.005715
614,0.005660
615,0.005602
616,0.005539
617,0.005473
618,0.005406
619,0.005339
620,0.005271
621,0.005204
622,0.005137
623,0.005070
624,0.005003
625,0.004932
626,0.004855
627,0.004772
628,0.004685
629,0.004599
630,0.004513
631,0.004427
632,0.004340
633,0.004254
634,0.004168
635,0.004082
636,0.003995
637,0.003914
638,0.003842
639,0.003778
640,0.003719
641,0.003659
642,0.003599
643,0.003540
644,0.003480
645,0.003418
646,0.003352
647,0.003284
648,0.003215
649,0.003145
650,0.003076
651,0.003007
652,0.002938
653,0.002869
654,0.002800
655,0.002732
656,0.002664
657,0.002597
658,0.002530
659,0.002463
660,0.002396
661,0.002332
662,0.002275
663,0.002223
664,0.002174
665,0.002125
666,0.002075
667,0.002026
668,0.001977
669,0.001928
670,0.001880
671,0.001834
672,0.001789
673,0.001744
674,0.001700
675,0.001655
676,0.001610
677,0.001565
678,0.001521
679,0.001476
680,0.001431
681,0.001387
682,0.001342
683,0.001297
684,0.001252
685,0.001211
686,0.001175
687,0.001145
688,0.001118
689,0.001091
690,0.001064
691,0.001036
692,0.001009
693,0.000982
694,0.000954
695,0.000927
696,0.000900
697,0.000872
698,0.000845
699,0.000818
700,0.000790
