wavelength_nm,absorption_coefficient_m2_mgPigment-1
400,0.0181
401,0.01874
402,0.01933
403,0.01987
404,0.02038
405,0.02088
406,0.02137
407,0.02187
408,0.02239
409,0.02293
410,0.02351
411,0.02411
412,0.02474
413,0.02539
414,0.02607
415,0.02676
416,0.02747
417,0.02818
418,0.02891
419,0.02965
420,0.03038
421,0.03112
422,0.03185
423,0.03258
424,0.03331
425,0.03402
426,0.03472
427,0.0354
428,0.03608
429,0.03675
430,0.0374
431,0.03803
432,0.03866
433,0.03927
434,0.03986
435,0.04044
436,0.04101
437,0.04155
438,0.04208
439,0.0426
440,0.04309
441,0.04357
442,0.04404
443,0.04451
444,0.045
445,0.0455
446,0.04604
447,0.0466
448,0.04719
449,0.0478
450,0.04841
451,0.04901
452,0.04961
453,0.05018
454,0.05072
455,0.05123
456,0.0517
457,0.05214
458,0.05253
459,0.05288
460,0.05318
461,0.05342
462,0.05361
463,0.05374
464,0.0538
465,0.0538
466,0.05373
467,0.0536
468,0.05341
469,0.05317
470,0.05288
471,0.05255
472,0.05219
473,0.05179
474,0.05137
475,0.05093
476,0.05047
477,0.05001
478,0.04954
479,0.04908
480,0.04862
481,0.04818
482,0.04777
483,0.04737
484,0.04702
485,0.0467
486,0.04642
487,0.04617
488,0.04595
489,0.04574
490,0.04554
491,0.04534
492,0.04513
493,0.04491
494,0.04466
495,0.04438
496,0.04404
497,0.04362
498,0.0431
499,0.04246
500,0.04171
501,0.04087
502,0.03996
503,0.039
504,0.03801
505,0.03699
506,0.03593
507,0.03481
508,0.03361
509,0.03232
510,0.03093
511,0.02945
512,0.02792
513,0.02634
514,0.02476
515,0.02318
516,0.02164
517,0.02015
518,0.01872
519,0.01735
520,0.01605
521,0.01482
522,0.01367
523,0.0126
524,0.01161
525,0.0107
526,0.00985
527,0.00908
528,0.00836
529,0.00769
530,0.00707
531,0.0065
532,0.00596
533,0.00544
534,0.00496
535,0.0045
536,0.00407
537,0.00368
538,0.00332
539,0.003
540,0.00273
541,0.0025
542,0.0023
543,0.00214
544,0.002
545,0.00187
546,0.00176
547,0.00166
548,0.00155
549,0.00144
550,0.00133
551,0.00121
552,0.0011
553,0.00098
554,0.00088
555,0.00078
556,0.00069
557,0.00061
558,0.00055
559,0.0005
560,0.00046
561,0.00043
562,0.0004
563,0.00038
564,0.00036
565,0.00035
566,0.00034
567,0.00033
568,0.00031
569,0.0003
570,0.00028
571,0.00027
572,0.00026
573,0.00024
574,0.00023
575,0.00021
576,0.0002
577,0.00019
578,0.00017
579,0.00016
580,0.00014
581,0.00013
582,0.00012
583,0.00011
584,0.00009
585,0.00008
586,0.00007
587,0.00006
588,0.00005
589,0.00004
590,0.00003
591,0.00003
592,0.00002
593,0.00001
594,0.00001
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
