wavelength_nm,absorption_coefficient_m2_mgPigment-1
400,0.01252
401,0.01258
402,0.01271
403,0.01289
404,0.01312
405,0.0134
406,0.01372
407,0.01408
408,0.01446
409,0.01487
410,0.01529
411,0.01573
412,0.01617
413,0.01661
414,0.01705
415,0.01746
416,0.01786
417,0.01822
418,0.01855
419,0.01884
420,0.01909
421,0.01929
422,0.01945
423,0.01955
424,0.01962
425,0.01968
426,0.01976
427,0.01987
428,0.02004
429,0.0203
430,0.02066
431,0.02114
432,0.02168
433,0.02222
434,0.02271
435,0.02313
436,0.02348
437,0.02373
438,0.02388
439,0.02391
440,0.02379
441,0.02351
442,0.02304
443,0.02237
444,0.02158
445,0.02068
446,0.01969
447,0.0186
448,0.01742
449,0.01616
450,0.01483
451,0.01345
452,0.01204
453,0.01066
454,0.00933
455,0.00811
456,0.00703
457,0.00608
458,0.00524
459,0.00451
460,0.00385
461,0.00327
462,0.00277
463,0.00234
464,0.00197
465,0.00168
466,0.00145
467,0.00127
468,0.00113
469,0.00103
470,0.00095
471,0.00089
472,0.00083
473,0.00077
474,0.00072
475,0.00066
476,0.00061
477,0.00056
478,0.00051
479,0.00046
480,0.00042
481,0.00037
482,0.00033
483,0.00029
484,0.00026
485,0.00023
486,0.0002
487,0.00018
488,0.00016
489,0.00015
490,0.00014
491,0.00013
492,0.00013
493,0.00013
494,0.00013
495,0.00013
496,0.00014
497,0.00015
498,0.00015
499,0.00016
500,0.00017
501,0.00017
502,0.00018
503,0.00018
504,0.00018
505,0.00018
506,0.00018
507,0.00018
508,0.00018
509,0.00018
510,0.00018
511,0.00018
512,0.00018
513,0.00017
514,0.00017
515,0.00017
516,0.00017
517,0.00017
518,0.00017
519,0.00017
520,0.00016
521,0.00016
522,0.00016
523,0.00017
524,0.00017
525,0.00017
526,0.00017
527,0.00017
528,0.00017
529,0.00017
530,0.00017
531,0.00017
532,0.00018
533,0.00018
534,0.00018
535,0.00018
536,0.00018
537,0.00018
538,0.00018
539,0.00018
540,0.00018
541,0.00017
542,0.00017
543,0.00017
544,0.00016
545,0.00016
546,0.00015
547,0.00015
548,0.00014
549,0.00014
550,0.00013
551,0.00013
552,0.00013
553,0.00013
554,0.00014
555,0.00014
556,0.00015
557,0.00017
558,0.00018
559,0.0002
560,0.00023
561,0.00025
562,0.00028
563,0.00031
564,0.00035
565,0.00039
566,0.00043
567,0.00047
568,0.00051
569,0.00056
570,0.0006
571,0.00065
572,0.00071
573,0.00076
574,0.00082
575,0.00087
576,0.00094
577,0.001
578,0.00106
579,0.00113
580,0.0012
581,0.00127
582,0.00134
583,0.0014
584,0.00146
585,0.00152
586,0.00157
587,0.00162
588,0.00166
589,0.00169
590,0.00171
591,0.00173
592,0.00174
593,0.00174
594,0.00173
595,0.00173
596,0.00172
597,0.00171
598,0.0017
599,0.00169
600,0.00168
601,0.00167
602,0.00167
603,0.00168
604,0.00169
605,0.00171
606,0.00173
607,0.00177
608,0.00182
609,0.00188
610,0.00196
611,0.00204
612,0.00214
613,0.00224
614,0.00236
615,0.00247
616,0.00259
617,0.00272
618,0.00285
619,0.00297
620,0.0031
621,0.00322
622,0.00334
623,0.00345
624,0.00356
625,0.00365
626,0.00373
627,0.0038
628,0.00385
629,0.00388
630,0.00389
631,0.00388
632,0.00385
633,0.00381
634,0.00375
635,0.00369
636,0.00361
637,0.00354
638,0.00346
639,0.00339
640,0.00333
641,0.00327
642,0.00322
643,0.00318
644,0.00315
645,0.00314
646,0.00315
647,0.00317
648,0.00321
649,0.00326
650,0.00334
651,0.00345
652,0.00358
653,0.00373
654,0.00392
655,0.00414
656,0.0044
657,0.0047
658,0.00505
659,0.00543
660,0.00587
661,0.00636
662,0.00689
663,0.00747
664,0.00809
665,0.00873
666,0.00941
667,0.01012
668,0.01085
669,0.01159
670,0.01235
671,0.01312
672,0.01387
673,0.0146
674,0.0153
675,0.01595
676,0.01652
677,0.01702
678,0.01744
679,0.01776
680,0.01799
681,0.01812
682,0.01814
683,0.01803
684,0.01774
685,0.01726
686,0.01655
687,0.01563
688,0.01456
689,0.01339
690,0.01216
691,0.01094
692,0.00974
693,0.00859
694,0.00749
695,0.00645
696,0.00548
697,0.00459
698,0.00378
699,0.00304
700,0.00237
