wavelength_nm,absorption_coefficient_m2_mgPigment-1
400,0.000271
401,0.00027
402,0.00027
403,0.000268
404,0.000267
405,0.000265
406,0.000263
407,0.000261
408,0.000259
409,0.000256
410,0.000253
411,0.00025
412,0.000247
413,0.000244
414,0.00024
415,0.000237
416,0.000233
417,0.000229
418,0.000225
419,0.000221
420,0.000217
421,0.000213
422,0.000209
423,0.000205
424,0.000201
425,0.000197
426,0.000193
427,0.000189
428,0.000185
429,0.000181
430,0.000177
431,0.000173
432,0.000169
433,0.000164
434,0.00016
435,0.000156
436,0.000152
437,0.000147
438,0.000143
439,0.000138
440,0.000134
441,0.000129
442,0.000125
443,0.000121
444,0.000117
445,0.000113
446,0.000109
447,0.000105
448,0.000102
449,0.000099
450,0.000096
451,0.000093
452,0.00009
453,0.000088
454,0.000086
455,0.000084
456,0.000081
457,0.000079
458,0.000077
459,0.000075
460,0.000073
461,0.000071
462,0.000069
463,0.000066
464,0.000064
465,0.000061
466,0.000058
467,0.000056
468,0.000053
469,0.00005
470,0.000048
471,0.000045
472,0.000043
473,0.00004
474,0.000038
475,0.000036
476,0.000034
477,0.000032
478,0.000031
479,0.000029
480,0.000028
481,0.000027
482,0.000027
483,0.000026
484,0.000026
485,0.000026
486,0.000027
487,0.000027
488,0.000028
489,0.000029
490,0.000031
491,0.000032
492,0.000034
493,0.000036
494,0.000039
495,0.000042
496,0.000045
497,0.000048
498,0.000051
499,0.000055
500,0.000059
501,0.000063
502,0.000067
503,0.000071
504,0.000075
505,0.00008
506,0.000084
507,0.000089
508,0.000093
509,0.000098
510,0.000103
511,0.000107
512,0.000112
513,0.000117
514,0.000121
515,0.000126
516,0.00013
517,0.000134
518,0.000139
519,0.000143
520,0.000148
521,0.000153
522,0.000158
523,0.000163
524,0.000168
525,0.000173
526,0.000179
527,0.000185
528,0.000191
529,0.000198
530,0.000205
531,0.000212
532,0.00022
533,0.000228
534,0.000237
535,0.000246
536,0.000255
537,0.000265
538,0.000276
539,0.000287
540,0.000298
541,0.00031
542,0.000322
543,0.000335
544,0.000348
545,0.000361
546,0.000375
547,0.000389
548,0.000404
549,0.000419
550,0.000434
551,0.00045
552,0.000466
553,0.000483
554,0.0005
555,0.000517
556,0.000535
557,0.000553
558,0.000572
559,0.000591
560,0.000611
561,0.000631
562,0.000651
563,0.000672
564,0.000694
565,0.000716
566,0.000738
567,0.000761
568,0.000784
569,0.000807
570,0.00083
571,0.000853
572,0.000876
573,0.000899
574,0.000921
575,0.000943
576,0.000964
577,0.000984
578,0.001003
579,0.001022
580,0.00104
581,0.001057
582,0.001074
583,0.001091
584,0.001109
585,0.001126
586,0.001143
587,0.001162
588,0.001181
589,0.001201
590,0.001222
591,0.001244
592,0.001267
593,0.001291
594,0.001316
595,0.001343
596,0.00137
597,0.001398
598,0.001427
599,0.001458
600,0.001489
601,0.001521
602,0.001554
603,0.001588
604,0.001623
605,0.001659
606,0.001697
607,0.001735
608,0.001774
609,0.001815
610,0.001855
611,0.001896
612,0.001936
613,0.001974
614,0.002011
615,0.002046
616,0.002079
617,0.002108
618,0.002135
619,0.002158
620,0.002178
621,0.002195
622,0.002208
623,0.002217
624,0.002223
625,0.002224
626,0.002222
627,0.002215
628,0.002204
629,0.002188
630,0.002168
631,0.002143
632,0.002112
633,0.002076
634,0.002036
635,0.00199
636,0.001939
637,0.001883
638,0.001822
639,0.001756
640,0.001687
641,0.001615
642,0.001541
643,0.001467
644,0.001393
645,0.00132
646,0.00125
647,0.001183
648,0.001118
649,0.001057
650,0.001
651,0.000945
652,0.000892
653,0.000838
654,0.000781
655,0.000721
656,0.000657
657,0.000593
658,0.00053
659,0.000471
660,0.000418
661,0.000371
662,0.000329
663,0.000291
664,0.000257
665,0.000224
666,0.000193
667,0.000164
668,0.000137
669,0.000113
670,0.000093
671,0.000078
672,0.000067
673,0.00006
674,0.000056
675,0.000053
676,0.000052
677,0.00005
678,0.000047
679,0.000045
680,0.000042
681,0.000038
682,0.000035
683,0.000031
684,0.000028
685,0.000025
686,0.000021
687,0.000019
688,0.000016
689,0.000014
690,0.000013
691,0.000012
692,0.000011
693,0.00001
694,0.000009
695,0.000009
696,0.000008
697,0.000006
698,0.000005
699,0.000003
700,0
